"地方","振(cid:11206)局","地(cid:8556)(cid:9234)号","(cid:12411)(cid:8196)所名","よみがな","ローマ字(cid:12210)(cid:12464)","所在地"
"北(cid:8079)(cid:13352)","宗(cid:12738)","11001","宗(cid:12738)岬","そうやみさき","SOYAMISAKI","(cid:9974)内市宗(cid:12738)岬"
"北(cid:8079)(cid:13352)","宗(cid:12738)","11016","(cid:9974)内","わっかない","WAKKANAI","(cid:9974)内市(cid:14052)(cid:13344)　(cid:9974)内地方(cid:7868)(cid:12767)台"
"北(cid:8079)(cid:13352)","宗(cid:12738)","11046","(cid:9833)文","れぶん","REBUN","(cid:9833)文(cid:13446)(cid:9833)文(cid:9195)大字(cid:14646)(cid:8157)村字トンナイ"
"北(cid:8079)(cid:13352)","宗(cid:12738)","11076","(cid:8062)(cid:14883)志別","はまおにしべつ","HAMAONISHIBETSU","宗(cid:12738)(cid:13446)(cid:8887)払村(cid:8062)(cid:14883)志別"
"北(cid:8079)(cid:13352)","宗(cid:12738)","11121","(cid:7967)川","ぬまかわ","NUMAKAWA","(cid:9974)内市声問村字(cid:7967)川"
"北(cid:8079)(cid:13352)","宗(cid:12738)","11151","(cid:7941)形","くつがた","KUTSUGATA","利尻(cid:13446)利尻(cid:9195)(cid:7941)形(cid:7976)(cid:9195)"
"北(cid:8079)(cid:13352)","宗(cid:12738)","11176","(cid:12751)富","とよとみ","TOYOTOMI","天塩(cid:13446)(cid:12751)富(cid:9195)字(cid:12751)富東2条"
"北(cid:8079)(cid:13352)","宗(cid:12738)","11206","(cid:8062)(cid:14459)別","はまとんべつ","HAMATOMBETSU","枝幸(cid:13446)(cid:8062)(cid:14459)別(cid:9195)クッチャロ(cid:8224)(cid:9217)"
"北(cid:8079)(cid:13352)","宗(cid:12738)","11276","中(cid:14459)別","なかとんべつ","NAKATOMBETSU","枝幸(cid:13446)中(cid:14459)別(cid:9195)上(cid:14678)"
"北(cid:8079)(cid:13352)","宗(cid:12738)","11291","北(cid:12386)枝幸","きたみえさし","KITAMI-ESASHI","枝幸(cid:13446)枝幸(cid:9195)本(cid:9195)　北(cid:12386)枝幸(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"北(cid:8079)(cid:13352)","宗(cid:12738)","11316","(cid:7735)(cid:9423)","うたのぼり","UTANOBORI","枝幸(cid:13446)枝幸(cid:9195)(cid:7735)(cid:9423)東(cid:9195)"
"北(cid:8079)(cid:13352)","上川","12011","中川","なかがわ","NAKAGAWA","中川(cid:13446)中川(cid:9195)中川"
"北(cid:8079)(cid:13352)","上川","12041","(cid:14434)威子府","おといねっぷ","OTOINEPPU","中川(cid:13446)(cid:14434)威子府村(cid:14434)威子府"
"北(cid:8079)(cid:13352)","上川","12141","(cid:10814)(cid:8157)","びふか","BIFUKA","中川(cid:13446)(cid:10814)(cid:8157)(cid:9195)(cid:12377)(cid:9195)"
"北(cid:8079)(cid:13352)","上川","12181","名寄","なよろ","NAYORO","名寄市大(cid:7595)"
"北(cid:8079)(cid:13352)","上川","12231","下川","しもかわ","SHIMOKAWA","上川(cid:13446)下川(cid:9195)南(cid:9195)"
"北(cid:8079)(cid:13352)","上川","12261","士別","しべつ","SHIBETSU","士別市(cid:7754)徳(cid:9195)"
"北(cid:8079)(cid:13352)","上川","12266","朝日","あさひ","ASAHI","士別市朝日(cid:9195)中央"
"北(cid:8079)(cid:13352)","上川","12301","和寒","わっさむ","WASSAMU","上川(cid:13446)和寒(cid:9195)日ノ出"
"北(cid:8079)(cid:13352)","上川","12386","(cid:7908)丹別","えたんべつ","ETAMBETSU","旭川市(cid:7908)丹別(cid:9195)(cid:11326)(cid:13597)"
"北(cid:8079)(cid:13352)","上川","12396","(cid:7834)布","ぴっぷ","PIPPU","上川(cid:13446)(cid:7834)布(cid:9195)北(cid:15920)(cid:10618)"
"北(cid:8079)(cid:13352)","上川","12411","上川","かみかわ","KAMIKAWA","上川(cid:13446)上川(cid:9195)(cid:7204)(cid:9195)"
"北(cid:8079)(cid:13352)","上川","12442","旭川","あさひかわ","ASAHIKAWA","旭川市宮前1条　旭川地方(cid:7868)(cid:12767)台"
"北(cid:8079)(cid:13352)","上川","12451","東川","ひがしかわ","HIGASHIKAWA","上川(cid:13446)東川(cid:9195)北(cid:9195)"
"北(cid:8079)(cid:13352)","上川","12512","志(cid:7834)内","しびない","SHIBINAI","上川(cid:13446)東(cid:9860)(cid:7462)(cid:9195)志(cid:7834)内"
"北(cid:8079)(cid:13352)","上川","12551","(cid:10814)(cid:9051)","びえい","BIEI","上川(cid:13446)(cid:10814)(cid:9051)(cid:9195)原(cid:13597)5(cid:10618)"
"北(cid:8079)(cid:13352)","上川","12596","上富(cid:11275)(cid:13597)","かみふらの","KAMIFURANO","(cid:10037)(cid:9649)(cid:13446)上富(cid:11275)(cid:13597)(cid:9195)大(cid:9195)"
"北(cid:8079)(cid:13352)","上川","12626","富(cid:11275)(cid:13597)","ふらの","FURANO","富(cid:11275)(cid:13597)市東(cid:9195)"
"北(cid:8079)(cid:13352)","上川","12632","(cid:15300)(cid:13459)","ろくごう","ROKUGO","富(cid:11275)(cid:13597)市(cid:15300)(cid:13459)市(cid:12196)地"
"北(cid:8079)(cid:13352)","上川","12691","幾寅","いくとら","IKUTORA","(cid:10037)(cid:9649)(cid:13446)南富(cid:11275)(cid:13597)(cid:9195)幾寅"
"北(cid:8079)(cid:13352)","上川","12746","占冠","しむかっぷ","SHIMUKAPPU","勇払(cid:13446)占冠村中央"
"北(cid:8079)(cid:13352)","上川","15041","朱(cid:14381)内","しゅまりない","SHUMARINAI","(cid:14261)(cid:10099)(cid:13446)幌加内(cid:9195)朱(cid:14381)内"
"北(cid:8079)(cid:13352)","上川","15076","幌加内","ほろかない","HOROKANAI","(cid:14261)(cid:10099)(cid:13446)幌加内(cid:9195)幌加内"
"北(cid:8079)(cid:13352)","(cid:9219)(cid:11532)","13061","天塩","てしお","TESHIO","天塩(cid:13446)天塩(cid:9195)川口"
"北(cid:8079)(cid:13352)","(cid:9219)(cid:11532)","13086","(cid:13362)別","えんべつ","EMBETSU","天塩(cid:13446)(cid:13362)別(cid:9195)幸和"
"北(cid:8079)(cid:13352)","(cid:9219)(cid:11532)","13121","初山別","しょさんべつ","SHOSAMBETSU","(cid:11362)前(cid:13446)初山別村初山別"
"北(cid:8079)(cid:13352)","(cid:9219)(cid:11532)","13146","(cid:8605)尻","やぎしり","YAGISHIRI","(cid:11362)前(cid:13446)(cid:10842)幌(cid:9195)(cid:8605)尻(cid:9425)(cid:8062)"
"北(cid:8079)(cid:13352)","(cid:9219)(cid:11532)","13181","(cid:10842)幌","はぼろ","HABORO","(cid:11362)前(cid:13446)(cid:10842)幌(cid:9195)南3条　(cid:10842)幌(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"北(cid:8079)(cid:13352)","(cid:9219)(cid:11532)","13261","(cid:13353)布","たっぷ","TAPPU","(cid:9219)(cid:11532)(cid:13446)小平(cid:9195)(cid:13353)布"
"北(cid:8079)(cid:13352)","(cid:9219)(cid:11532)","13277","(cid:9219)(cid:11532)","るもい","RUMOI","(cid:9219)(cid:11532)市大(cid:9195)　(cid:9219)(cid:11532)(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"北(cid:8079)(cid:13352)","(cid:9219)(cid:11532)","13311","増(cid:7839)","ましけ","MASHIKE","増(cid:7839)(cid:13446)増(cid:7839)(cid:9195)別(cid:11337)"
"北(cid:8079)(cid:13352)","(cid:9219)(cid:11532)","13321","幌(cid:10439)","ほろぬか","HORONUKA","(cid:9219)(cid:11532)市幌(cid:10439)(cid:9195)"
"北(cid:8079)(cid:13352)","(cid:9660)(cid:8833)","14026","(cid:8062)(cid:9480)","はまます","HAMAMASU","(cid:9660)(cid:8833)市(cid:8062)(cid:9480)区川下"
"北(cid:8079)(cid:13352)","(cid:9660)(cid:8833)","14071","厚(cid:9187)","あつた","ATSUTA","(cid:9660)(cid:8833)市厚(cid:9187)区別(cid:8833)"
"北(cid:8079)(cid:13352)","(cid:9660)(cid:8833)","14101","新(cid:10267)(cid:8032)","しんしのつ","SHINSHINOTSU","(cid:9660)(cid:8833)(cid:13446)新(cid:10267)(cid:8032)村(cid:10152)46(cid:10618)北"
"北(cid:8079)(cid:13352)","(cid:9660)(cid:8833)","14116","山口","やまぐち","YAMAGUCHI","札幌市手(cid:9988)区手(cid:9988)山口"
"北(cid:8079)(cid:13352)","(cid:9660)(cid:8833)","14121","(cid:9660)(cid:8833)","いしかり","ISHIKARI","(cid:9660)(cid:8833)市(cid:9173)振"
"北(cid:8079)(cid:13352)","(cid:9660)(cid:8833)","14136","(cid:7908)別","えべつ","EBETSU","(cid:7908)別市(cid:7908)別太"
"北(cid:8079)(cid:13352)","(cid:9660)(cid:8833)","14163","札幌","さっぽろ","SAPPORO","札幌市中央区北2条(cid:12377)　札幌(cid:10230)区(cid:7868)(cid:12767)台"
"北(cid:8079)(cid:13352)","(cid:9660)(cid:8833)","14206","恵庭島松","えにわしままつ","ENIWASHIMAMATSU","恵庭市下島松"
"北(cid:8079)(cid:13352)","(cid:9660)(cid:8833)","14286","支(cid:10134)(cid:8224)(cid:9217)","しこつこはん","SHIKOTSUKOHAN","千(cid:7763)市支(cid:10134)(cid:8224)(cid:8194)(cid:7976)(cid:9234)外地"
"北(cid:8079)(cid:13352)","(cid:10037)(cid:9649)","15116","(cid:9660)(cid:8833)(cid:7967)(cid:9187)","いしかりぬまた","ISHIKARINUMATA","(cid:14261)(cid:10099)(cid:13446)(cid:7967)(cid:9187)(cid:9195)(cid:10611)(cid:9195)"
"北(cid:8079)(cid:13352)","(cid:10037)(cid:9649)","15161","(cid:8157)川","ふかがわ","FUKAGAWA","(cid:8157)川市一已(cid:9195)一已"
"北(cid:8079)(cid:13352)","(cid:10037)(cid:9649)","15231","(cid:10037)(cid:9649)吉(cid:13597)","そらちよしの","SORACHIYOSHINO","(cid:7583)戸(cid:13446)新十(cid:8032)川(cid:9195)吉(cid:13597)"
"北(cid:8079)(cid:13352)","(cid:10037)(cid:9649)","15241","(cid:8298)川","たきかわ","TAKIKAWA","(cid:8298)川市南(cid:8298)の川"
"北(cid:8079)(cid:13352)","(cid:10037)(cid:9649)","15251","(cid:11313)別","あしべつ","ASHIBETSU","(cid:11313)別市北2条東"
"北(cid:8079)(cid:13352)","(cid:10037)(cid:9649)","15311","月形","つきがた","TSUKIGATA","(cid:7583)戸(cid:13446)月形(cid:9195)(cid:9649)来乙"
"北(cid:8079)(cid:13352)","(cid:10037)(cid:9649)","15321","(cid:10814)唄","びばい","BIBAI","(cid:10814)唄市北(cid:10814)唄(cid:9195)二区"
"北(cid:8079)(cid:13352)","(cid:10037)(cid:9649)","15356","岩(cid:12386)(cid:7953)","いわみざわ","IWAMIZAWA","岩(cid:12386)(cid:7953)市5条東　岩(cid:12386)(cid:7953)(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"北(cid:8079)(cid:13352)","(cid:10037)(cid:9649)","15431","(cid:14039)(cid:7967)","ながぬま","NAGANUMA","夕張(cid:13446)(cid:14039)(cid:7967)(cid:9195)本(cid:9195)北"
"北(cid:8079)(cid:13352)","(cid:10037)(cid:9649)","15442","夕張","ゆうばり","YUBARI","夕張市(cid:15285)の(cid:12738)山手(cid:9195)"
"北(cid:8079)(cid:13352)","後志","16026","(cid:10814)国","びくに","BIKUNI","(cid:10010)丹(cid:13446)(cid:10010)丹(cid:9195)(cid:10814)国(cid:9195)字(cid:11242)(cid:8406)"
"北(cid:8079)(cid:13352)","後志","16061","(cid:9860)恵内","かもえない","KAMOENAI","古宇(cid:13446)(cid:9860)恵内村大字(cid:9860)恵内村"
"北(cid:8079)(cid:13352)","後志","16076","余市","よいち","YOICHI","余市(cid:13446)余市(cid:9195)(cid:12751)丘(cid:9195)"
"北(cid:8079)(cid:13352)","後志","16091","小(cid:7585)","おたる","OTARU","小(cid:7585)市勝(cid:10465)(cid:9195)　小(cid:7585)(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"北(cid:8079)(cid:13352)","後志","16156","共和","きょうわ","KYOWA","岩内(cid:13446)共和(cid:9195)南幌似"
"北(cid:8079)(cid:13352)","後志","16206","(cid:11858)(cid:12922)","らんこし","RANKOSHI","(cid:9790)(cid:12738)(cid:13446)(cid:11858)(cid:12922)(cid:9195)(cid:11858)(cid:12922)"
"北(cid:8079)(cid:13352)","後志","16217","倶(cid:9649)安","くっちゃん","KUTCHAN","(cid:11905)(cid:9187)(cid:13446)倶(cid:9649)安(cid:9195)南1条東　倶(cid:9649)安(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"北(cid:8079)(cid:13352)","後志","16252","寿(cid:13460)","すっつ","SUTTSU","寿(cid:13460)(cid:13446)寿(cid:13460)(cid:9195)新(cid:7204)(cid:9195)　寿(cid:13460)(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"北(cid:8079)(cid:13352)","後志","16281","(cid:9535)(cid:8833)","まっかり","MAKKARI","(cid:11905)(cid:9187)(cid:13446)(cid:9535)(cid:8833)村(cid:10814)原"
"北(cid:8079)(cid:13352)","後志","16286","喜(cid:11377)別","きもべつ","KIMOBETSU","(cid:11905)(cid:9187)(cid:13446)喜(cid:11377)別(cid:9195)伏(cid:12386)"
"北(cid:8079)(cid:13352)","後志","16321","(cid:15342)松内","くろまつない","KUROMATSUNAI","寿(cid:13460)(cid:13446)(cid:15342)松内(cid:9195)(cid:15342)松内"
"中国","岡山","66046","上(cid:14039)(cid:9187)","かみながた","KAMINAGATA","(cid:9535)庭市(cid:11611)山上(cid:14039)(cid:9187)"
"中国","岡山","66091","千屋","ちや","CHIYA","新(cid:12386)市千屋"
"中国","岡山","66127","奈(cid:10831)","なぎ","NAGI","勝(cid:9187)(cid:13446)奈(cid:10831)(cid:9195)(cid:11432)内(cid:12377)字大(cid:7909)"
"中国","岡山","66136","今岡","いまおか","IMAOKA","(cid:10814)作市今岡"
"中国","岡山","66171","久世","くせ","KUSE","(cid:9535)庭市中島"
"中国","岡山","66186","(cid:8032)山","つやま","TSUYAMA","(cid:8032)山市林(cid:9187)　(cid:8032)山(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"中国","岡山","66221","新(cid:12386)","にいみ","NIIMI","新(cid:12386)市(cid:12938)(cid:12386)堂の下"
"中国","岡山","66296","(cid:9887)(cid:8187)","ふくわたり","FUKUWATARI","岡山市北区建(cid:13450)(cid:9195)(cid:9887)(cid:8187)"
"中国","岡山","66306","和(cid:7868)","わけ","WAKE","和(cid:7868)(cid:13446)和(cid:7868)(cid:9195)吉(cid:9187)"
"中国","岡山","66336","(cid:14807)(cid:7281)","たかはし","TAKAHASHI","(cid:14807)(cid:7281)市(cid:11552)合(cid:9195)(cid:13254)似"
"中国","岡山","66408","岡山","おかやま","OKAYAMA","岡山市北区(cid:8032)島中　岡山地方(cid:7868)(cid:12767)台"
"中国","岡山","66421","(cid:11896)明","むしあげ","MUSHIAGE","(cid:8489)戸内市(cid:13402)久(cid:9195)(cid:11896)明"
"中国","岡山","66446","倉敷","くらしき","KURASHIKI","倉敷市中央"
"中国","岡山","66481","(cid:10143)岡","かさおか","KASAOKA","(cid:10143)岡市カブト東(cid:9195)"
"中国","岡山","66501","(cid:8930)(cid:13597)","たまの","TAMANO","(cid:8930)(cid:13597)市宇(cid:13597)"
"中国","広島","67016","(cid:14807)(cid:13597)","たかの","TAKANO","庄原市(cid:14807)(cid:13597)(cid:9195)新市"
