"地方","振興局","地点番号","観測所名","よみがな","ローマ字表記","所在地"
"北海道","宗谷","11001","宗谷岬","そうやみさき","SOYAMISAKI","(cid:9974)内市宗谷岬"
"北海道","宗谷","11016","(cid:9974)内","わっかない","WAKKANAI","(cid:9974)内市(cid:14052)(cid:13344)　(cid:9974)内地方気象台"
"北海道","宗谷","11046","(cid:9833)文","れぶん","REBUN","(cid:9833)文(cid:13446)(cid:9833)文町大字香(cid:8157)村字トンナイ"
"北海道","宗谷","11076","(cid:8062)(cid:14883)志別","はまおにしべつ","HAMAONISHIBETSU","宗谷(cid:13446)(cid:8887)払村(cid:8062)(cid:14883)志別"
"北海道","宗谷","11121","(cid:7967)川","ぬまかわ","NUMAKAWA","(cid:9974)内市声問村字(cid:7967)川"
"北海道","宗谷","11151","(cid:7941)形","くつがた","KUTSUGATA","利尻(cid:13446)利尻町(cid:7941)形(cid:7976)町"
"北海道","宗谷","11176","(cid:12751)富","とよとみ","TOYOTOMI","天塩(cid:13446)(cid:12751)富町字(cid:12751)富東2条"
"北海道","宗谷","11206","(cid:8062)(cid:14459)別","はまとんべつ","HAMATOMBETSU","枝幸(cid:13446)(cid:8062)(cid:14459)別町クッチャロ(cid:8224)(cid:9217)"
"北海道","宗谷","11276","中(cid:14459)別","なかとんべつ","NAKATOMBETSU","枝幸(cid:13446)中(cid:14459)別町上(cid:14678)"
"北海道","宗谷","11291","北(cid:12386)枝幸","きたみえさし","KITAMI-ESASHI","枝幸(cid:13446)枝幸町本町　北(cid:12386)枝幸特別地域気象観測所"
"北海道","宗谷","11316","歌(cid:9423)","うたのぼり","UTANOBORI","枝幸(cid:13446)枝幸町歌(cid:9423)東町"
"北海道","上川","12011","中川","なかがわ","NAKAGAWA","中川(cid:13446)中川町中川"
"北海道","上川","12041","(cid:14434)威子府","おといねっぷ","OTOINEPPU","中川(cid:13446)(cid:14434)威子府村(cid:14434)威子府"
"北海道","上川","12141","(cid:10814)(cid:8157)","びふか","BIFUKA","中川(cid:13446)(cid:10814)(cid:8157)町(cid:12377)町"
"北海道","上川","12181","名寄","なよろ","NAYORO","名寄市大(cid:7595)"
"北海道","上川","12231","下川","しもかわ","SHIMOKAWA","上川(cid:13446)下川町南町"
"北海道","上川","12261","士別","しべつ","SHIBETSU","士別市(cid:7754)徳町"
"北海道","上川","12266","朝日","あさひ","ASAHI","士別市朝日町中央"
"北海道","上川","12301","和寒","わっさむ","WASSAMU","上川(cid:13446)和寒町日ノ出"
"北海道","上川","12386","(cid:7908)丹別","えたんべつ","ETAMBETSU","旭川市(cid:7908)丹別町(cid:11326)野"
"北海道","上川","12396","(cid:7834)布","ぴっぷ","PIPPU","上川(cid:13446)(cid:7834)布町北(cid:15920)(cid:10618)"
"北海道","上川","12411","上川","かみかわ","KAMIKAWA","上川(cid:13446)上川町(cid:7204)町"
"北海道","上川","12442","旭川","あさひかわ","ASAHIKAWA","旭川市宮前1条　旭川地方気象台"
"北海道","上川","12451","東川","ひがしかわ","HIGASHIKAWA","上川(cid:13446)東川町北町"
"北海道","上川","12512","志(cid:7834)内","しびない","SHIBINAI","上川(cid:13446)東神(cid:7462)町志(cid:7834)内"
"北海道","上川","12551","(cid:10814)(cid:9051)","びえい","BIEI","上川(cid:13446)(cid:10814)(cid:9051)町原野5(cid:10618)"
"北海道","上川","12596","上富良野","かみふらの","KAMIFURANO","空知(cid:13446)上富良野町大町"
"北海道","上川","12626","富良野","ふらの","FURANO","富良野市東町"
"北海道","上川","12632","(cid:15300)(cid:13459)","ろくごう","ROKUGO","富良野市(cid:15300)(cid:13459)市(cid:12196)地"
"北海道","上川","12691","幾寅","いくとら","IKUTORA","空知(cid:13446)南富良野町幾寅"
"北海道","上川","12746","占冠","しむかっぷ","SHIMUKAPPU","勇払(cid:13446)占冠村中央"
"北海道","上川","15041","朱(cid:14381)内","しゅまりない","SHUMARINAI","(cid:14261)(cid:10099)(cid:13446)幌加内町朱(cid:14381)内"
"北海道","上川","15076","幌加内","ほろかない","HOROKANAI","(cid:14261)(cid:10099)(cid:13446)幌加内町幌加内"
"北海道","留萌","13061","天塩","てしお","TESHIO","天塩(cid:13446)天塩町川口"
"北海道","留萌","13086","(cid:13362)別","えんべつ","EMBETSU","天塩(cid:13446)(cid:13362)別町幸和"
"北海道","留萌","13121","初山別","しょさんべつ","SHOSAMBETSU","(cid:11362)前(cid:13446)初山別村初山別"
"北海道","留萌","13146","(cid:8605)尻","やぎしり","YAGISHIRI","(cid:11362)前(cid:13446)(cid:10842)幌町(cid:8605)尻(cid:9425)(cid:8062)"
"北海道","留萌","13181","(cid:10842)幌","はぼろ","HABORO","(cid:11362)前(cid:13446)(cid:10842)幌町南3条　(cid:10842)幌特別地域気象観測所"
"北海道","留萌","13261","(cid:13353)布","たっぷ","TAPPU","留萌(cid:13446)小平町(cid:13353)布"
"北海道","留萌","13277","留萌","るもい","RUMOI","留萌市大町　留萌特別地域気象観測所"
"北海道","留萌","13311","増(cid:7839)","ましけ","MASHIKE","増(cid:7839)(cid:13446)増(cid:7839)町別(cid:11337)"
"北海道","留萌","13321","幌(cid:10439)","ほろぬか","HORONUKA","留萌市幌(cid:10439)町"
"北海道","石狩","14026","(cid:8062)(cid:9480)","はまます","HAMAMASU","石狩市(cid:8062)(cid:9480)区川下"
"北海道","石狩","14071","厚田","あつた","ATSUTA","石狩市厚田区別狩"
"北海道","石狩","14101","新(cid:10267)(cid:8032)","しんしのつ","SHINSHINOTSU","石狩(cid:13446)新(cid:10267)(cid:8032)村(cid:10152)46(cid:10618)北"
"北海道","石狩","14116","山口","やまぐち","YAMAGUCHI","札幌市手(cid:9988)区手(cid:9988)山口"
"北海道","石狩","14121","石狩","いしかり","ISHIKARI","石狩市(cid:9173)振"
"北海道","石狩","14136","(cid:7908)別","えべつ","EBETSU","(cid:7908)別市(cid:7908)別太"
"北海道","石狩","14163","札幌","さっぽろ","SAPPORO","札幌市中央区北2条(cid:12377)　札幌(cid:10230)区気象台"
"北海道","石狩","14206","恵庭島松","えにわしままつ","ENIWASHIMAMATSU","恵庭市下島松"
"北海道","石狩","14286","支(cid:10134)(cid:8224)(cid:9217)","しこつこはん","SHIKOTSUKOHAN","千(cid:7763)市支(cid:10134)(cid:8224)(cid:8194)(cid:7976)番外地"
"北海道","空知","15116","石狩(cid:7967)田","いしかりぬまた","ISHIKARINUMATA","(cid:14261)(cid:10099)(cid:13446)(cid:7967)田町(cid:10611)町"
