"Date","Time","WBGT","Tg"
"2020/10/1","1:00","17.1","17.6"
"2020/10/1","2:00","16.8","17.3"
"2020/10/1","3:00","16.5","16.8"
"2020/10/1","4:00","16.2","17.0"
"2020/10/1","5:00","16.3","16.6"
"2020/10/1","6:00","16.1","16.8"
"2020/10/1","7:00","16.0","17.4"
"2020/10/1","8:00","16.8","19.5"
"2020/10/1","9:00","19.5","30.3"
"2020/10/1","10:00","20.9","35.7"
"2020/10/1","11:00","22.1","38.8"
"2020/10/1","12:00","20.9","36.5"
"2020/10/1","13:00","22.2","39.9"
"2020/10/1","14:00","22.5","43.1"
"2020/10/1","15:00","20.0","36.8"
"2020/10/1","16:00","19.4","34.6"
"2020/10/1","17:00","19.6","29.3"
"2020/10/1","18:00","18.1","22.4"
"2020/10/1","19:00","17.7","21.5"
"2020/10/1","20:00","17.4","20.5"
"2020/10/1","21:00","17.0","19.2"
"2020/10/1","22:00","16.7","18.9"
"2020/10/1","23:00","16.5","18.5"
"2020/10/1","24:00","16.0","17.8"
"2020/10/2","1:00","15.8","17.3"
"2020/10/2","2:00","15.2","16.0"
"2020/10/2","3:00","15.0","16.0"
"2020/10/2","4:00","14.7","15.7"
"2020/10/2","5:00","14.4","15.3"
"2020/10/2","6:00","14.3","15.3"
"2020/10/2","7:00","14.5","16.6"
"2020/10/2","8:00","15.1","18.3"
"2020/10/2","9:00","19.2","34.3"
"2020/10/2","10:00","21.8","39.5"
"2020/10/2","11:00",,
"2020/10/2","12:00",,
"2020/10/2","13:00",,
"2020/10/2","14:00",,
"2020/10/2","15:00",,
"2020/10/2","16:00",,
"2020/10/2","17:00",,
"2020/10/2","18:00",,
"2020/10/2","19:00",,
"2020/10/2","20:00",,
"2020/10/2","21:00",,
"2020/10/2","22:00",,
"2020/10/2","23:00",,
"2020/10/2","24:00",,
