"Date","Time","WBGT","Tg"
"2020/7/1","1:00","23.7","23.4"
"2020/7/1","2:00","23.6","23.6"
"2020/7/1","3:00","23.3","22.9"
"2020/7/1","4:00","23.2","23.1"
"2020/7/1","5:00","22.9","23.1"
"2020/7/1","6:00","22.5","22.9"
"2020/7/1","7:00","25.1","33.2"
"2020/7/1","8:00","27.3","42.5"
"2020/7/1","9:00","27.8","41.3"
"2020/7/1","10:00","27.0","41.7"
"2020/7/1","11:00","26.0","41.4"
"2020/7/1","12:00","25.7","40.9"
"2020/7/1","13:00","26.7","42.8"
"2020/7/1","14:00","26.3","41.4"
"2020/7/1","15:00","27.2","42.3"
"2020/7/1","16:00","26.5","39.6"
"2020/7/1","17:00","25.6","36.8"
"2020/7/1","18:00","24.0","28.9"
"2020/7/1","19:00","23.0","25.8"
"2020/7/1","20:00","22.8","23.9"
"2020/7/1","21:00","22.1","22.7"
"2020/7/1","22:00","22.0","22.7"
"2020/7/1","23:00","20.9","21.6"
"2020/7/1","24:00","20.7","20.8"
"2020/7/2","1:00","20.3","20.3"
"2020/7/2","2:00","19.8","19.6"
"2020/7/2","3:00","19.2","19.2"
"2020/7/2","4:00","19.0","18.3"
"2020/7/2","5:00","18.5","18.2"
"2020/7/2","6:00","19.1","20.6"
"2020/7/2","7:00","22.0","34.7"
"2020/7/2","8:00","23.3","39.8"
"2020/7/2","9:00","23.6","38.9"
"2020/7/2","10:00","25.0","44.5"
"2020/7/2","11:00","25.9","42.9"
"2020/7/2","12:00","25.9","43.2"
"2020/7/2","13:00","25.9","43.3"
"2020/7/2","14:00","26.6","43.1"
"2020/7/2","15:00","25.3","38.0"
"2020/7/2","16:00","24.6","34.0"
"2020/7/2","17:00","23.7","31.6"
"2020/7/2","18:00","23.0","27.2"
"2020/7/2","19:00","22.6","24.6"
"2020/7/2","20:00","22.4","23.7"
"2020/7/2","21:00","22.5","23.5"
"2020/7/2","22:00","22.5","23.7"
"2020/7/2","23:00","22.5","23.9"
"2020/7/2","24:00","22.3","23.6"
"2020/7/3","1:00","22.0","22.9"
"2020/7/3","2:00","21.6","22.2"
"2020/7/3","3:00","21.5","22.4"
"2020/7/3","4:00","21.4","21.9"
"2020/7/3","5:00","21.2","21.4"
"2020/7/3","6:00","21.1","21.9"
"2020/7/3","7:00","22.2","25.3"
"2020/7/3","8:00","22.6","25.6"
"2020/7/3","9:00","23.1","27.3"
"2020/7/3","10:00","22.4","25.7"
"2020/7/3","11:00","20.8","21.8"
"2020/7/3","12:00","21.2","22.5"
"2020/7/3","13:00","21.2","22.2"
"2020/7/3","14:00","21.4","22.6"
"2020/7/3","15:00","21.4","21.8"
"2020/7/3","16:00","21.5","21.7"
"2020/7/3","17:00","21.3","21.6"
"2020/7/3","18:00","21.5","21.6"
"2020/7/3","19:00","21.6","21.5"
"2020/7/3","20:00","21.5","21.3"
"2020/7/3","21:00","21.5","21.4"
"2020/7/3","22:00","21.4","21.2"
"2020/7/3","23:00","21.5","21.2"
"2020/7/3","24:00","21.7","21.6"
"2020/7/4","1:00","21.9","21.6"
"2020/7/4","2:00","21.9","21.7"
"2020/7/4","3:00","22.0","21.9"
"2020/7/4","4:00","22.4","22.2"
"2020/7/4","5:00","22.6","22.3"
"2020/7/4","6:00","23.0","22.7"
"2020/7/4","7:00","23.6","23.4"
"2020/7/4","8:00","23.6","23.3"
"2020/7/4","9:00","23.9","23.8"
"2020/7/4","10:00","23.5","26.3"
"2020/7/4","11:00","23.0","23.8"
"2020/7/4","12:00","23.9","27.4"
"2020/7/4","13:00","24.6","28.4"
"2020/7/4","14:00","27.1","35.4"
"2020/7/4","15:00","28.1","39.1"
"2020/7/4","16:00","27.6","36.5"
"2020/7/4","17:00","27.4","32.6"
"2020/7/4","18:00","25.8","28.9"
"2020/7/4","19:00","25.3","26.2"
"2020/7/4","20:00","24.6","24.1"
"2020/7/4","21:00","24.0","23.5"
"2020/7/4","22:00","23.6","24.1"
"2020/7/4","23:00","23.7","23.3"
"2020/7/4","24:00","23.3","23.8"
"2020/7/5","1:00","22.8","22.7"
"2020/7/5","2:00","22.2","22.0"
"2020/7/5","3:00","22.3","22.6"
"2020/7/5","4:00","22.0","22.0"
"2020/7/5","5:00","21.9","21.7"
"2020/7/5","6:00","21.9","22.7"
"2020/7/5","7:00","22.3","23.5"
"2020/7/5","8:00","24.5","30.3"
"2020/7/5","9:00","28.3","43.4"
"2020/7/5","10:00","28.5","42.7"
"2020/7/5","11:00","27.3","40.4"
"2020/7/5","12:00","27.0","37.4"
"2020/7/5","13:00","27.3","41.3"
"2020/7/5","14:00","26.5","35.2"
"2020/7/5","15:00","25.6","32.5"
"2020/7/5","16:00","25.0","29.0"
"2020/7/5","17:00","25.0","28.8"
"2020/7/5","18:00","24.8","26.5"
"2020/7/5","19:00","23.9","24.2"
"2020/7/5","20:00","23.8","23.7"
"2020/7/5","21:00","24.0","24.0"
"2020/7/5","22:00","23.9","23.6"
"2020/7/5","23:00","24.1","23.9"
"2020/7/5","24:00","24.1","23.9"
"2020/7/6","1:00","23.4","23.6"
"2020/7/6","2:00","23.4","23.2"
