"Date","Time","WBGT","Tg"
"2020/10/1","1:00","22.6","24.5"
"2020/10/1","2:00","22.1","23.9"
"2020/10/1","3:00","21.7","23.6"
"2020/10/1","4:00","21.7","23.4"
"2020/10/1","5:00","21.5","22.3"
"2020/10/1","6:00","21.5","22.3"
"2020/10/1","7:00","21.1","23.0"
"2020/10/1","8:00","22.0","25.6"
"2020/10/1","9:00","23.6","27.8"
"2020/10/1","10:00","25.7","37.4"
"2020/10/1","11:00","25.2","32.9"
"2020/10/1","12:00","26.4","36.1"
"2020/10/1","13:00","26.2","36.8"
"2020/10/1","14:00","24.4","25.7"
"2020/10/1","15:00","27.5","40.0"
"2020/10/1","16:00","25.2","31.0"
"2020/10/1","17:00","26.7","37.1"
"2020/10/1","18:00","24.7","28.9"
"2020/10/1","19:00","24.1","25.3"
"2020/10/1","20:00","24.1","25.4"
"2020/10/1","21:00","23.9","25.2"
"2020/10/1","22:00","24.1","25.2"
"2020/10/1","23:00","24.1","25.4"
"2020/10/1","24:00","23.8","25.6"
"2020/10/2","1:00","24.2","25.3"
"2020/10/2","2:00","23.5","25.0"
"2020/10/2","3:00","23.3","24.3"
"2020/10/2","4:00","22.9","23.6"
"2020/10/2","5:00","23.0","23.5"
"2020/10/2","6:00","23.0","23.5"
"2020/10/2","7:00","23.0","23.6"
"2020/10/2","8:00","24.2","26.6"
"2020/10/2","9:00","24.9","28.7"
"2020/10/2","10:00","27.5","41.2"
"2020/10/2","11:00","27.4","41.7"
"2020/10/2","12:00",,
"2020/10/2","13:00",,
"2020/10/2","14:00",,
"2020/10/2","15:00",,
"2020/10/2","16:00",,
"2020/10/2","17:00",,
"2020/10/2","18:00",,
"2020/10/2","19:00",,
"2020/10/2","20:00",,
"2020/10/2","21:00",,
"2020/10/2","22:00",,
"2020/10/2","23:00",,
"2020/10/2","24:00",,
