,0,1,2,3,4,5,6
0,地方,振(cid:11206)局,地(cid:8556)(cid:9234)号,(cid:12411)(cid:8196)所名,よみがな,ローマ字(cid:12210)(cid:12464),所在地
1,四国,徳島,71066,(cid:7909)(cid:9187),いけだ,IKEDA,三好市(cid:7909)(cid:9187)(cid:9195)シンヤマ
2,四国,徳島,71087,(cid:10032)吹,あなぶき,ANABUKI,(cid:10814)(cid:14655)市(cid:10032)吹(cid:9195)口山初(cid:11425)
3,四国,徳島,71106,徳島,とくしま,TOKUSHIMA,徳島市大和(cid:9195)　徳島地方(cid:7868)(cid:12767)台
4,四国,徳島,71191,京上,きょうじょう,KYOJO,三好市東(cid:9853)(cid:12738)京上
5,四国,徳島,71231,(cid:11622)(cid:9173)(cid:9187),かもだ,KAMODA,(cid:14143)南市(cid:7418)(cid:9195)(cid:11622)(cid:9173)(cid:9187)
6,四国,徳島,71251,木(cid:14476),きとう,KITO,(cid:13411)(cid:12833)(cid:13446)(cid:13411)(cid:12833)(cid:9195)木(cid:14476)和(cid:8595)(cid:9187)ヨシノ
7,四国,徳島,71266,日和佐,ひわさ,HIWASA,(cid:8079)(cid:13450)(cid:13446)(cid:10814)(cid:7996)(cid:9195)日和佐(cid:8070)
8,四国,徳島,71291,(cid:8079)(cid:14183),かいよう,KAIYO,(cid:8079)(cid:13450)(cid:13446)(cid:8079)(cid:14183)(cid:9195)四方原字杉(cid:12738)
9,四国,(cid:14646)川,72061,内(cid:8079),うちのみ,UCHINOMI,小(cid:12747)(cid:13446)小(cid:12747)島(cid:9195)(cid:12377)村(cid:9189)
10,四国,(cid:14646)川,72086,(cid:14807)松,たかまつ,TAKAMATSU,(cid:14807)松市伏(cid:9660)(cid:9195)　(cid:14807)松地方(cid:7868)(cid:12767)台
11,四国,(cid:14646)川,72111,多度(cid:8032),たどつ,TADOTSU,仲多度(cid:13446)多度(cid:8032)(cid:9195)家中　多度(cid:8032)(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所
12,四国,(cid:14646)川,72121,(cid:8298)宮,たきのみや,TAKINOMIYA,(cid:10596)(cid:7735)(cid:13446)(cid:10596)川(cid:9195)(cid:8298)宮字山(cid:9187)
13,四国,(cid:14646)川,72146,引(cid:9187),ひけた,HIKETA,東かがわ市南(cid:13597)
14,四国,(cid:14646)川,72161,(cid:12808)(cid:9187),さいた,SAITA,三(cid:12751)市(cid:12808)(cid:9187)(cid:9195)(cid:12808)(cid:9187)上
15,四国,愛媛,73001,大三島,おおみしま,OMISHIMA,今(cid:7966)市大三島(cid:9195)宮(cid:8070)地先
16,四国,愛媛,73076,今(cid:7966),いまばり,IMABARI,今(cid:7966)市山(cid:12976)
17,四国,愛媛,73126,(cid:12377)条,さいじょう,SAIJO,(cid:12377)条市周布
